cell_id	x	y	celltype	valve	score__Valve_defects	z__Valve_defects	score__Atrioventricular_septal_defect	z__Atrioventricular_septal_defect	score__Atrial_septal_defect	z__Atrial_septal_defect	score__Ventricular_septal_defect	z__Ventricular_septal_defect	score__Malformation_of_the_outflow_tract	z__Malformation_of_the_outflow_tract	score__HypertrophicCardiomyopathy	z__HypertrophicCardiomyopathy	score__DilatedCardiomyopathy	z__DilatedCardiomyopathy	score__PCGC_DeNovoVariants	z__PCGC_DeNovoVariants	score__Single_ventricle_disease	z__Single_ventricle_disease	score__Familial_thoracic_aortic_aneurysm_and_aortic_dissection	z__Familial_thoracic_aortic_aneurysm_and_aortic_dissection
ATR_091_set19__568	18459.169507891565	17715.76537625454	vCM-LV-Compact II	False	0.28984985	-1.4738578	0.32219595	-1.2992382	0.39607352	-1.0927887	0.4016833	-0.25520325	0.35210934	-1.1290551	1.1414735	2.469453	0.875437	2.3346796	0.33521444	-1.6498141	0.4277051	-0.87088335	0.22519153	-1.1798264
ATR_091_set19__60	18516.933088893136	17607.221672685115	vCM-LV-Compact I	False	0.36074075	-0.56191707	0.3908704	-0.5122738	0.4841691	0.21265611	0.46089366	0.59971124	0.41357362	-0.25330585	1.4397278	3.3500597	1.0966042	3.247634	0.40950733	-0.32175043	0.51490104	0.04284234	0.45818594	-0.3526193
ATR_091_set19__648	18485.27642528121	17670.641457437898	BEC	False	0.3416603	-0.8073681	0.389502	-0.5279548	0.37492096	-1.406238	0.36052066	-0.849534	0.2660715	-2.354931	0.045866624	-0.76536727	0.08186903	-0.9410828	0.3568328	-1.2633631	0.15844703	-3.6924374	0.37715366	-0.6403106
ATR_092_set19__20	18229.009818586543	17279.50270467292	vCM-LV-Compact I	False	0.34221876	-0.800184	0.38044912	-0.63169485	0.45833018	-0.17023794	0.4218082	0.035372257	0.40538538	-0.36997283	1.3328826	3.0345955	1.0125203	2.9005446	0.3894214	-0.6808076	0.5240923	0.13915765	0.44905123	-0.38505054
ATR_092_set19__367	17939.230492989023	17398.95221750341	vCM-LV-Compact I	False	0.3076248	-1.245201	0.3460939	-1.0253832	0.42280638	-0.69664764	0.40075225	-0.26864636	0.36136353	-0.99720055	1.360539	3.116252	1.0425153	3.0243607	0.36298406	-1.1534029	0.5132625	0.025672175	0.39321554	-0.5832857
ATR_092_set19__420	18189.933490492873	17470.626851322624	Pericyte	False	0.34730807	-0.7347151	0.5102461	0.85569394	0.363063	-1.5819552	0.31481433	-1.5094693	0.4150856	-0.23176284	0.11969499	-0.5473862	0.18168844	-0.5290391	0.38483927	-0.7627181	0.3068949	-2.136853	0.69583523	0.49111414
ATR_092_set19__441	18149.283272043373	17206.070516697888	vCM-LV-Compact I	False	0.37679356	-0.35541362	0.43582588	0.0028868278	0.487533	0.2625042	0.45560732	0.523384	0.43481052	0.049279604	1.0681609	2.2529948	0.85242033	2.2396693	0.40695968	-0.36729237	0.55636173	0.47730872	0.5175698	-0.14178707
ATR_092_set19__489	18059.354793478502	17204.225937982734	vCM-LV-Compact I	False	0.35348108	-0.6553054	0.41444302	-0.2421469	0.46181792	-0.11855491	0.4368044	0.25189635	0.4025607	-0.41021892	1.1675073	2.5463188	0.9029269	2.448155	0.38727465	-0.719183	0.5501614	0.41233566	0.4835502	-0.26256782
ATR_092_set19__494	18038.81366524059	17320.458641414316	vCM-LV-Compact II	False	0.3688364	-0.45777455	0.37521255	-0.6917025	0.44152385	-0.4192827	0.40542927	-0.20111664	0.36891767	-0.8895683	0.4798106	0.51586854	0.42874104	0.49076718	0.40034747	-0.48549262	0.389371	-1.2725862	0.3430661	-0.76133275
ATR_092_set19__505	18012.00822597919	17351.531103490703	vCM-LV-Compact I	False	0.38306114	-0.2747875	0.42854562	-0.08054021	0.485481	0.2320965	0.46974462	0.72750676	0.420133	-0.15984726	1.1009631	2.3498445	0.86999446	2.3122134	0.4291013	0.028512133	0.49048463	-0.21301717	0.56899756	0.040798537
ATR_092_set19__580	18027.712847633746	17198.342131432008	vCM-LV-Compact I	False	0.2618726	-1.8337573	0.35728887	-0.89709616	0.37315586	-1.4323941	0.3341047	-1.2309436	0.34292802	-1.2598715	1.3146974	2.980903	0.9376806	2.5916145	0.3096204	-2.1073344	0.47224393	-0.40416124	0.44671345	-0.39335042
