	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_201_set5__693	-0.0908	0.1693	-0.6896	0.3475	-0.8722	0.1844	0.1679	-0.1481	0.0802	0.2036
VEN_201_set5__741	0.0311	0.1136	-0.7017	0.1816	-0.9457	-0.0084	0.0404	0.0833	-0.0253	0.1651
VEN_201_set5__762	-0.1884	-0.0714	-0.3501	-0.1960	0.0012	-0.2392	-0.0629	0.0114	-0.1498	-0.0833
VEN_201_set5__797	0.0144	0.1351	-0.5247	0.5146	-0.8113	0.1246	0.1596	-0.1783	0.0806	0.0409
VEN_201_set6__19	-0.1137	-0.1187	-0.7443	0.1746	-0.8711	-0.0903	0.0805	-0.2565	-0.1481	-0.1355
VEN_201_set6__286	0.1676	0.4269	-0.6911	0.0110	-0.9550	0.1481	0.0672	0.2120	0.2571	0.1733
VEN_201_set6__405	0.0484	0.0892	-0.1954	0.4035	-0.5555	0.0807	0.0511	0.0356	0.1280	0.0516
VEN_201_set6__417	0.5270	0.2990	-0.2663	0.9150	-0.6644	0.1489	0.6699	0.0312	0.3711	0.2492
VEN_201_set6__461	-0.0227	-0.0764	-0.7924	0.2229	-0.8997	0.1921	-0.1452	0.2597	0.1285	0.0746
VEN_201_set6__507	0.8406	0.3651	-0.7869	0.4388	-0.6502	-0.2305	-0.2887	1.5503	0.6271	0.5683
VEN_201_set6__528	0.3611	0.4171	-0.3343	0.5655	-0.8672	0.2953	0.3331	0.1830	0.4365	0.3013
VEN_201_set6__561	0.2289	0.1285	-0.2976	0.1739	-0.3354	-0.1525	-0.1963	0.5601	0.1522	0.0962
VEN_201_set6__565	-0.1485	0.0214	-0.7535	0.3660	-0.9806	0.1017	-0.0279	-0.1479	0.0018	-0.2076
VEN_201_set6__690	0.2403	0.1854	-0.1979	-0.0422	-0.4570	0.0705	0.1459	0.0430	0.1549	0.2260
VEN_201_set6__790	0.1069	0.2782	-0.6946	0.3510	-0.9105	0.2560	0.2083	0.0819	0.2490	0.1976
VEN_201_set8__103	-0.1014	-0.1985	-0.6321	0.1356	-0.9767	0.0335	-0.0194	0.3842	0.0296	-0.1478
VEN_201_set8__156	0.1016	-0.0228	0.6610	-0.1698	0.9090	0.0141	0.0365	0.0570	0.0417	0.0874
VEN_201_set8__282	-0.1751	-0.1117	0.4094	-0.3251	0.7073	-0.1683	-0.1394	-0.0434	-0.2519	-0.2223
VEN_201_set8__345	-0.1398	-0.1870	-0.8076	0.4495	-0.9117	-0.2125	-0.1992	-0.4754	-0.1470	-0.1217
VEN_201_set8__386	0.2008	0.1382	0.5884	-0.1901	0.6975	0.1601	0.1344	0.1710	0.1806	0.2833
