	CHD	CardiovascularDisease	PCGC_DeNovoVariants
ATR_005_set14__632	-0.0512	-0.6680	-0.2956
ATR_005_set16__190	0.0943	-0.5828	0.0654
ATR_005_set16__273	0.2367	-0.4796	0.1687
ATR_005_set16__288	-0.2077	-0.6466	-0.2272
ATR_005_set16__318	0.2693	-0.6433	0.0959
ATR_005_set16__339	0.0139	-0.6272	-0.0821
ATR_005_set16__375	-0.0603	-0.4699	-0.0332
ATR_005_set16__411	-0.0971	-0.7649	-0.1407
ATR_005_set16__432	-0.0416	-0.6495	-0.0342
ATR_005_set16__51	-0.2442	-0.7388	-0.5533
ATR_005_set16__67	0.4675	-0.4665	0.0719
ATR_005_set17__248	-0.2672	-0.6607	-0.1196
ATR_005_set17__308	0.3290	-0.4062	0.4976
ATR_005_set17__38	0.1608	-0.2683	0.1107
ATR_005_set17__383	-0.1516	-0.3762	0.1163
ATR_005_set17__441	-0.0887	-0.5301	0.0497
ATR_005_set17__500	-0.0098	-0.6343	-0.0631
ATR_005_set17__521	0.2256	-0.3867	0.2790
ATR_005_set17__541	0.1460	-0.4838	0.3360
ATR_005_set17__551	-0.1581	-0.6647	-0.2483
ATR_005_set17__587	0.2198	-0.3669	0.4746
ATR_005_set17__627	-0.0345	-0.5499	-0.2987
ATR_005_set17__637	0.0818	-0.2699	0.8060
ATR_005_set17__643	0.2788	-0.2778	0.3411
ATR_005_set17__647	-0.0677	-0.5597	-0.2213
ATR_005_set17__673	0.2110	-0.4593	0.0738
ATR_005_set17__685	-0.0207	-0.5347	0.3541
ATR_005_set17__727	0.3931	-0.1167	0.3447
ATR_005_set17__801	0.0274	-0.6272	-0.0263
ATR_005_set17__834	0.3489	-0.2674	0.4411
ATR_005_set17__856	-0.0208	-0.7083	-0.2066
ATR_005_set17__869	-0.2219	-0.7695	-0.0618
ATR_005_set17__878	0.0508	-0.6056	-0.0830
ATR_005_set17__919	0.0448	-0.5388	0.0613
ATR_005_set18__103	0.1999	0.1617	0.1211
ATR_005_set18__133	-0.0580	0.2394	-0.0605
ATR_005_set18__137	0.1535	-0.4103	0.1366
ATR_005_set18__14	0.2380	0.6999	0.2292
ATR_005_set18__267	0.1689	0.5299	0.1078
ATR_005_set18__333	0.0729	0.5640	0.1272
ATR_005_set18__390	0.0664	0.2576	0.0821
ATR_005_set18__404	0.2795	-0.4385	0.2781
ATR_005_set18__448	0.1961	0.3496	0.1972
