Gene	in_sc	in_sp	class	categories	traits
STRA6	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease
TAB2	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
TAFAZZIN	False	False	missing	CardiovascularDisease	DilatedCardiomyopathy
TBX1	True	False	impute	CHD	Malformation_of_the_outflow_tract;Ventricular_septal_defect
TBX20	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease
TBX5	True	True	direct	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Atrioventricular_septal_defect;PCGC_DeNovoVariants;Ventricular_septal_defect
TCAP	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
TFAP2B	True	False	impute	CHD	Malformation_of_the_outflow_tract
TGFBR1	True	False	impute	CHD;CardiovascularDisease	Atrial_septal_defect;Familial_thoracic_aortic_aneurysm_and_aortic_dissection
TGFBR2	True	False	impute	CHD;CardiovascularDisease	Atrial_septal_defect;Familial_thoracic_aortic_aneurysm_and_aortic_dissection;Valve_defects
THOC6	True	False	impute	CHD	Atrial_septal_defect
THSD4	True	False	impute	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection
TLL1	True	False	impute	CHD	Atrial_septal_defect
TMEM260	True	False	impute	CHD	Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
TMPO	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
TNNC1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
TNNI3	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
TNNT2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
TPM1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
TRAF7	True	False	impute	CHD	Atrial_septal_defect;Single_ventricle_disease;Valve_defects
TSC1	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
TTN	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
TXNL4A	True	False	impute	CHD	Atrial_septal_defect
U2SURP	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
UBR1	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract
VCL	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
VEZF1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
WASHC5	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants
ZEB2	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects
ZFPM2	True	False	impute	CHD	Malformation_of_the_outflow_tract
ZIC3	False	False	missing	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects
