,receptor,pathway,tf,tf_PPR,category,subcategory
26807,IL12RB1,Th1 and Th2 cell differentiation,IL4,0.011542298,Organismal Systems,Immune system
26808,IL23R_IL12RB1,Th1 and Th2 cell differentiation,STAT1,0.026281002,Organismal Systems,Immune system
26809,IL23R,Th1 and Th2 cell differentiation,STAT1,0.026281002,Organismal Systems,Immune system
26810,IL12RB1,Th1 and Th2 cell differentiation,STAT1,0.026281002,Organismal Systems,Immune system
26811,IL23R_IL12RB1,Th1 and Th2 cell differentiation,STAT4,0.089585466,Organismal Systems,Immune system
26812,IL23R,Th1 and Th2 cell differentiation,STAT4,0.089585466,Organismal Systems,Immune system
26813,IL12RB1,Th1 and Th2 cell differentiation,STAT4,0.089585466,Organismal Systems,Immune system
26814,IL23R_IL12RB1,Th1 and Th2 cell differentiation,STAT5A,0.011113581,Organismal Systems,Immune system
26815,IL23R,Th1 and Th2 cell differentiation,STAT5A,0.011113581,Organismal Systems,Immune system
26816,IL12RB1,Th1 and Th2 cell differentiation,STAT5A,0.011113581,Organismal Systems,Immune system
26817,IL23R_IL12RB1,Th1 and Th2 cell differentiation,STAT5B,0.011113581,Organismal Systems,Immune system
26818,IL23R,Th1 and Th2 cell differentiation,STAT5B,0.011113581,Organismal Systems,Immune system
26819,IL12RB1,Th1 and Th2 cell differentiation,STAT5B,0.011113581,Organismal Systems,Immune system
26820,IL23R_IL12RB1,Th1 and Th2 cell differentiation,STAT6,0.00848318,Organismal Systems,Immune system
26821,IL23R,Th1 and Th2 cell differentiation,STAT6,0.00848318,Organismal Systems,Immune system
26822,IL12RB1,Th1 and Th2 cell differentiation,STAT6,0.00848318,Organismal Systems,Immune system
26823,IL23R_IL12RB1,Th1 and Th2 cell differentiation,MAF,0.001100348,Organismal Systems,Immune system
26824,IL23R,Th1 and Th2 cell differentiation,MAF,0.001100348,Organismal Systems,Immune system
26825,IL12RB1,Th1 and Th2 cell differentiation,MAF,0.001100348,Organismal Systems,Immune system
