	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_076_set19__851	0.3745	0.3778	0.7864	0.0441	0.8610	0.2532	0.3100	0.3540	0.2920	0.3295
VEN_076_set19__89	0.3998	0.5392	-0.3747	0.2916	-0.4589	0.4406	0.3258	0.3168	0.5362	0.3687
VEN_076_set1__182	0.4460	0.2357	0.0036	0.8545	-0.2957	0.5689	0.4899	0.5701	0.5271	0.4105
VEN_076_set1__233	0.7982	0.7990	-0.1124	0.7830	-0.2579	0.7122	0.7309	0.7436	0.8966	0.6744
VEN_076_set1__365	-0.1855	-0.2968	-0.0489	-0.2934	0.1137	-0.1963	-0.1867	-0.2372	-0.1114	-0.1140
VEN_076_set1__372	0.4350	0.4328	0.8560	0.4222	0.9113	0.4014	0.3814	0.4711	0.3714	0.4179
VEN_076_set1__411	0.4004	0.3370	-0.2534	0.4811	-0.4335	0.4513	0.3211	0.3370	0.4977	0.4010
VEN_076_set1__415	-0.0541	0.7214	0.7379	0.9094	0.8564	0.0449	-0.3120	0.5734	-0.1121	0.1997
VEN_076_set1__495	0.0080	0.2407	-0.2797	0.1121	-0.3177	0.1295	-0.0431	-0.1354	0.0116	-0.0826
VEN_076_set1__515	0.3069	0.3333	-0.2798	0.6493	-0.4159	0.3746	0.3571	0.4231	0.4367	0.2262
VEN_076_set1__637	-0.5006	-0.8695	-0.5753	0.8273	-0.9031	-0.4901	-0.3645	-0.6528	-0.4159	-0.5778
VEN_076_set20__162	0.2532	0.2629	0.6430	-0.0476	0.7608	0.1843	0.2069	0.2593	0.1909	0.2905
VEN_076_set20__281	0.1650	0.2122	0.6146	-0.1355	0.6979	0.1055	0.0963	0.2276	0.1153	0.2040
VEN_076_set20__300	-0.1883	-0.0655	0.2309	-0.2872	0.3851	-0.1850	-0.1619	-0.1503	-0.2536	-0.1422
VEN_076_set20__519	0.5467	0.6372	-0.2385	0.7400	-0.3088	0.5444	0.5218	0.5056	0.6499	0.5287
VEN_076_set20__565	-0.2418	-0.4128	0.2285	-0.4198	0.3816	-0.3014	-0.1383	-0.1459	-0.2953	-0.1135
VEN_076_set20__586	0.0320	0.1340	-0.3293	0.7319	-0.3177	0.0939	0.0498	-0.0389	0.0457	-0.0291
VEN_076_set20__686	-0.1549	-0.4027	0.1801	0.2395	0.2992	0.5025	-0.4628	-0.1507	0.0108	0.0407
VEN_076_set20__690	-1.0337	-1.0553	-0.5259	-0.8501	-0.6326	-1.0242	-0.9490	-1.1395	-1.0421	-0.8295
VEN_076_set20__701	-0.3908	-0.3872	-0.0136	-0.2944	0.2854	-0.2975	-0.3887	-0.3449	-0.3928	-0.2637
VEN_076_set20__737	-0.9599	-1.1282	-1.1945	0.0469	-1.2644	-0.8627	-0.9409	-0.5152	-0.7037	-0.9983
VEN_076_set20__801	-0.1243	-0.2064	0.0199	-0.3153	0.2183	-0.1481	-0.5122	-0.3937	-0.1349	-0.0223
VEN_076_set20__890	-0.6646	-0.6632	-0.3170	-0.7710	-0.1313	-0.6999	-0.7950	-0.5999	-0.7682	-0.3285
VEN_076_set20__913	0.0059	0.1279	0.3486	-0.1866	0.4728	-0.0101	-0.0410	0.0810	-0.0390	0.0465
VEN_076_set20__922	0.1866	0.1220	-0.4325	0.2436	-0.4709	0.1168	0.2729	0.2582	0.3074	0.1169
VEN_076_set22__123	0.1795	0.2290	0.6497	0.0634	0.7702	0.1655	0.1021	0.3279	0.1119	0.2167
VEN_076_set22__159	-0.3212	-0.3469	-0.8327	-0.1272	-0.7078	-0.0530	0.3118	-0.5116	-0.5615	-0.1359
VEN_076_set22__171	0.1471	0.1593	0.6697	0.0380	0.7640	0.1161	0.0756	0.2540	0.1063	0.1709
VEN_076_set22__194	0.0155	-0.0574	-0.3952	0.5439	-0.4746	0.0347	0.0782	0.1224	0.0805	0.0411
VEN_076_set22__245	0.1133	-0.0803	-0.3876	0.4615	-0.5730	0.0256	0.0934	0.2485	0.1825	0.1175
