gene	peak_celltype	lineage	source	peak_mean
ITSN2	WBC	Immune	imputed	1.0982
JAG1	VSMC	Mural	direct	1.3434
JPH2	vCM-LV-Hybrid	vCM	imputed	0.6379
KANSL1	WBC	Immune	imputed	1.2385
KAT6A	BEC	Endothelial	imputed	0.8385
KAT6B	ncCM-AVC-like	ncCM	imputed	1.0374
KDM2B	WBC	Immune	imputed	0.3339
KDM5A	ncCM-AVC-like	ncCM	imputed	0.6401
KDM5B	VEC	Endothelial	imputed	0.6071
KDM6A	ncCM-AVC-like	ncCM	imputed	1.2822
KDR	BEC	Endothelial	imputed	1.0356
KLHL24	vCM-LV-Hybrid	vCM	imputed	0.8881
KMT2A	Neuronal	Neural	imputed	0.4854
KMT2C	WBC	Immune	imputed	1.5686
KMT2D	BEC	Endothelial	imputed	0.1725
KRAS	vEndocardial	Endothelial	imputed	0.3684
KRT13	adFibro	Fibroblast	imputed	0.0001
KYNU	WBC	Immune	imputed	0.6990
LAMA4	Compact vFibro	Fibroblast	imputed	1.5670
LDB3	vCM-LV-Hybrid	vCM	imputed	2.0612
LMNA	vCM-LV-AV	vCM	imputed	0.5998
LMOD2	vCM-RV-Compact	vCM	imputed	0.8239
LOX	adFibro	Fibroblast	imputed	0.5275
LRP1	EPDC	Fibroblast	imputed	0.5360
LTBP2	VIC	VIC	imputed	0.2771
LZTR1	VSMC	Mural	imputed	0.0589
MAP2K1	WBC	Immune	imputed	0.3891
MAP2K2	aCM-LA	aCM	imputed	0.1076
MAP3K7	vCM-IVS-His	vCM	imputed	0.5754
MED12	vCM-LV-AV	vCM	imputed	0.1035
MED13L	WBC	Immune	imputed	2.3440
MEIS2	VIC	VIC	imputed	2.0295
MESP1	ncCM-AVC-like	ncCM	imputed	0.0098
MFAP5	adFibro	Fibroblast	direct	0.2219
MINK1	aEndocardial	Endothelial	imputed	0.1432
MRPL44	vCM-RV-Compact	vCM	imputed	0.1541
MTO1	vCM-LV-AV	vCM	imputed	0.1168
MYBPC3	vCM-LV-Hybrid	vCM	imputed	1.3827
MYH11	VSMC	Mural	direct	1.9030
MYH6	aCM-LA	aCM	direct	3.2630
MYH7	vCM-RV-Hybrid	vCM	direct	4.2218
MYL2	vCM-RV-Compact	vCM	imputed	3.4406
MYL3	vCM-RV-Compact	vCM	imputed	2.5273
MYLK	Pericyte	Mural	imputed	0.3632
MYLK2	vCM-LV/RV-Purkinje	vCM	imputed	0.0000
MYO7B	VEC	Endothelial	imputed	0.0114
MYOZ2	vCM-RV-Compact	vCM	imputed	1.2586
MYPN	aCM-LA	aCM	imputed	0.3440
MYRF	Epicardial	Fibroblast	imputed	0.1179
NAA15	vEndocardial	Endothelial	imputed	0.4665
